Time,Recording
'2,08333333333333E-05','-0,001825435901992'
'4,16666666666667E-05','-0,002363162813708'
'6,25E-05','-0,002947703702375'
'8,33333333333333E-05','-0,003580494550988'
'0,000104166666667','-0,003661994822323'
'0,000125','-0,003851550631225'
'0,000145833333333','-0,004221701063216'
'0,000166666666667','-0,004097636323422'
'0,0001875','-0,003464435227215'
'0,000208333333333','-0,003879439318553'
'0,000229166666667','-0,004103664308786'
'0,00025','-0,0034147889819'
'0,000270833333333','-0,003293352667242'
'0,000291666666667','-0,003824176732451'
'0,0003125','-0,003746905596927'
'0,000333333333333','-0,003288637148216'
'0,000354166666667','-0,004146225284785'
'0,000375','-0,004731426946819'
'0,000395833333333','-0,004270238336176'
'0,000416666666667','-0,004814280662686'
'0,0004375','-0,006088779307902'
'0,000458333333333','-0,006171681918204'
'0,000479166666667','-0,00640635471791'
'0,0005','-0,007619875483215'
'0,000520833333333','-0,008461344987154'
'0,000541666666667','-0,008179003372788'
'0,0005625','-0,009107504971325'
'0,000583333333333','-0,009605710394681'
'0,000604166666667','-0,00938717648387'
'0,000625','-0,009459785185754'
'0,000645833333333','-0,009688101708889'
'0,000666666666667','-0,009511270560324'
'0,0006875','-0,009209641255438'
'0,000708333333333','-0,008562813512981'
'0,000729166666667','-0,008238981477916'
'0,00075','-0,007813748903573'
'0,000770833333333','-0,006266050040722'
'0,000791666666667','-0,005664439406246'
'0,0008125','-0,004741301760077'
'0,000833333333333','-0,003242554375902'
'0,000854166666667','-0,001988177653402'
'0,000875','-0,001538627198897'
'0,000895833333333','-0,000306748290313'
'0,000916666666667','0,000757419620641'
'0,0009375','0,000866354210302'
'0,000958333333333','0,00149924098514'
'0,000979166666667','0,002479993738234'
'0,001','0,002522112801671'
'0,001020833333333','0,002537104068324'
'0,001041666666667','0,002833839971572'
'0,0010625','0,00345731084235'
'0,001083333333333','0,003108364529908'
'0,001104166666667','0,002971907844767'
'0,001125','0,003795112948865'
'0,001145833333333','0,003754371544346'
'0,001166666666667','0,00323383952491'
'0,0011875','0,003671696409583'
'0,001208333333333','0,004670955240726'
'0,001229166666667','0,004166815429926'
'0,00125','0,004474945366383'
'0,001270833333333','0,005546854808927'
'0,001291666666667','0,005965623538941'
'0,0013125','0,005752250552177'
'0,001333333333333','0,006842597387731'
'0,001354166666667','0,007600417360663'
'0,001375','0,007669411599636'
'0,001395833333333','0,007882110774517'
'0,001416666666667','0,009006842970848'
'0,0014375','0,009460060857236'
'0,001458333333333','0,009315728209913'
'0,001479166666667','0,00991643872112'
'0,0015','0,010752920992673'
'0,001520833333333','0,010732700116932'
'0,001541666666667','0,010315633378923'
'0,0015625','0,010891381651163'
'0,001583333333333','0,01086136046797'
'0,001604166666667','0,01029078476131'
'0,001625','0,009656460955739'
'0,001645833333333','0,009952558204532'
'0,001666666666667','0,009059205651283'
'0,0016875','0,008079869672656'
'0,001708333333333','0,007958909496665'
'0,001729166666667','0,007477303035557'
'0,00175','0,005653166677803'
'0,001770833333333','0,005090234801173'
'0,001791666666667','0,004729565232992'
'0,0018125','0,003181593958288'
'0,001833333333333','0,001929828897119'
'0,001854166666667','0,001553839189'
'0,001875','0,000815854291432'
'0,001895833333333','-0,000298897968605'
'0,001916666666667','-0,000580394582357'
'0,0019375','-0,000621010782197'
'0,001958333333333','-0,001262634992599'
